datetime,storage,elevation,outflow,inflow,precip,evap,tocs
11/13/00,572.475,425.3,1966,2501,0,14,617.8
11/14/00,574.197,425.5,2229,3111,0.08,14,609.7
11/15/00,574.971,425.59,1861,2265,0,14,601.5
11/16/00,574.885,425.58,2431,2402,0,14,593.3
11/17/00,575.057,425.6,2555,2656,0,14,585.2
11/18/00,575.66,425.67,2648,2966,0,14,577
11/19/00,575.401,425.64,2645,2528,0,14,577
11/20/00,574.541,425.54,2526,2106,0,14,577
11/21/00,573.766,425.45,2497,2120,0,14,577
11/22/00,573.508,425.42,2553,2437,0.12,14,577
11/23/00,572.131,425.26,2362,1682,0,14,577
11/24/00,569.125,424.91,2660,1153,0,9,577
11/25/00,566.138,424.56,2648,1151,0,9,577
11/26/00,563.579,424.26,2529,1248,0,9,577
11/27/00,561.787,424.05,2581,1687,0,9,577
11/28/00,561.531,424.02,2574,2445,0,0,577
11/29/00,561.531,424.02,2507,2507,0.05,0,577
11/30/00,560.853,423.94,2542,2200,0.14,0,577
12/01/00,560.43,423.89,2532,2319,0,0,577
12/02/00,559.922,423.83,2502,2255,0,9,577
12/03/00,559.077,423.73,2544,2127,0,9,577
12/04/00,557.893,423.59,2902,2314,0.03,9,577
12/05/00,557.47,423.54,2478,2265,0,0,577
12/06/00,557.47,423.54,2690,2690,0,0,577
12/07/00,557.808,423.58,2410,2651,0,71,577
12/08/00,557.047,423.49,2403,2090,0,71,577
12/09/00,555.186,423.27,2221,1354,0,71,577
12/10/00,553.072,423.02,2567,1572,0,71,577
12/11/00,552.735,422.98,2532,2433,0,71,577
12/12/00,554.764,423.22,2581,3604,0.43,0,577
12/13/00,555.44,423.3,2433,2774,0,0,577
12/14/00,555.44,423.3,2450,2450,0.13,0,577
12/15/00,556.032,423.37,2522,2820,0.1,0,577
12/16/00,555.525,423.31,2459,2203,0,0,577
12/17/00,553.495,423.07,2549,1526,0,0,577
12/18/00,553.58,423.08,2409,2452,0,0,577
12/19/00,554.341,423.17,2658,3042,0,0,577
12/20/00,553.41,423.06,2587,2126,0,8,577
12/21/00,552.4,422.94,2546,2045,0,8,577
12/22/00,550.64,422.73,2779,1900,0.01,8,577
12/23/00,548.461,422.47,2501,1410,0,8,577
12/24/00,547.12,422.31,2544,1876,0,8,577
12/25/00,546.031,422.18,2316,1767,0,0,577
12/26/00,543.692,421.9,2737,1558,0,0,577
12/27/00,541.532,421.64,2771,1682,0,0,577
12/28/00,540.203,421.48,2366,1696,0,0,577
12/29/00,539.622,421.41,2407,2114,0,0,577
12/30/00,535.97,420.97,2819,978,0,0,577
12/31/00,532.925,420.6,2448,913,0,0,577
01/01/01,531.032,420.37,2502,1548,0,0,577
01/02/01,528.234,420.03,2768,1357,0,0,577
01/03/01,526.193,419.78,2573,1544,0,0,577
01/04/01,523.584,419.46,2514,1199,0,0,577
01/05/01,522.117,419.28,2084,1344,0,0,577
01/06/01,520.242,419.05,2108,1163,0,0,577
01/07/01,518.057,418.78,2112,1010,0,0,577
01/08/01,515.1,418.41,2701,1194,0.81,0,577
01/09/01,511.275,417.94,3009,1097,0.1,0,577
01/10/01,508.794,417.63,3167,1970,0,54,577
01/11/01,507.833,417.51,3032,2561,1.03,13,577
01/12/01,505.592,417.23,2966,1860,0.19,24,577
01/13/01,502.72,416.87,2564,1156,0.19,40,577
01/14/01,500.104,416.54,2491,1217,0.19,45,577
01/15/01,498.042,416.28,2024,1000,0,16,577
01/16/01,495.981,416.02,2064,1163,0,138,577
01/17/01,493.623,415.72,2376,1187,0,0,577
01/18/01,492.366,415.56,2180,1546,0,0,577
01/19/01,491.581,415.46,1581,1185,0,0,577
01/20/01,491.188,415.41,1690,1540,0,48,577
01/21/01,489.696,415.22,1911,1193,0,34,577
01/22/01,489.774,415.23,1596,1722,0,87,577
01/23/01,490.167,415.28,1443,1667,0,26,577
01/24/01,491.502,415.45,1496,2169,0.64,0,577
01/25/01,492.759,415.61,1698,2332,0.09,0,577
01/26/01,494.88,415.88,1269,2338,1.08,0,577
01/27/01,495.901,416.01,1212,1727,0,0,577
01/28/01,494.408,415.82,1718,978,0,13,577
01/29/01,493.859,415.75,1544,1267,0.13,0,577
01/30/01,492.837,415.62,1625,1118,0.02,8,577
01/31/01,491.816,415.49,1622,1115,0,8,577
02/01/01,490.874,415.37,1634,1167,0,8,577
02/02/01,488.832,415.11,1882,861,0,8,577
02/03/01,487.19,414.9,1560,740,0,8,577
02/04/01,485.79,414.72,1596,906,0,16,577
02/05/01,484.311,414.53,1622,884,0,8,577
02/06/01,483.689,414.45,1490,1184,0,8,577
02/07/01,482.444,414.29,1956,1352,0.19,24,577
02/08/01,481.588,414.18,1371,965,0,26,579.4
02/09/01,480.966,414.1,1316,1028,0,26,581.8
02/10/01,482.755,414.33,1400,2328,0,26,584.1
02/11/01,486.801,414.85,1193,3233,1.16,0,586.5
02/12/01,489.068,415.14,1656,2799,0.51,0,588.9
02/13/01,491.11,415.4,1314,2343,0.25,0,591.3
02/14/01,491.345,415.43,1493,1627,0,16,593.7
02/15/01,491.895,415.5,1453,1746,0,16,596
02/16/01,492.366,415.56,1760,2008,0,11,598.4
02/17/01,492.209,415.54,1484,1426,0,21,600.8
02/18/01,492.131,415.53,1548,1520,0,11,603.2
02/19/01,493.387,415.69,1391,2024,0.07,0,577
02/20/01,496.773,416.12,1594,3301,0.78,0,608
02/21/01,499.787,416.5,1543,3063,0.78,0,610.3
02/22/01,503.911,417.02,1479,3582,0.03,24,612.7
02/23/01,509.194,417.68,1612,4275,0.68,0,615.1
02/24/01,514.421,418.33,1222,3857,0.14,0,617.5
02/25/01,519.026,418.9,1402,3724,0.45,0,577
02/26/01,522.28,419.3,1288,2956,0,27,622.2
02/27/01,523.911,419.5,1701,2537,0,14,624.6
02/28/01,524.563,419.58,1716,2092,0,47,627
03/01/01,524.807,419.61,1888,2039,0,28,629.4
03/02/01,526.03,419.76,1692,2334,0.18,25,629.4
03/03/01,528.399,420.05,1368,2570,0.16,8,629.4
03/04/01,531.361,420.41,1421,2956,0.39,42,590.5
03/05/01,537.795,421.19,1490,4765,0.57,31,638.9
03/06/01,542.695,421.78,1210,3688,0.02,8,641.3
03/07/01,545.612,422.13,1712,3200,0,17,643.7
03/08/01,547.874,422.4,1827,2987,0,20,646
03/09/01,550.389,422.7,1645,2930,0,17,648.4
03/10/01,552.4,422.94,1696,2724,0,14,650.8
03/11/01,554.848,423.23,1407,2661,0,20,614
03/12/01,556.878,423.47,1511,2577,0,43,655.6
03/13/01,556.878,423.47,1917,1945,0,28,658
03/14/01,557.639,423.56,1635,2045,0,26,660.3
03/15/01,559.33,423.76,1480,2373,0,40,662.7
03/16/01,561.106,423.97,1466,2378,0,17,662.7
03/17/01,561.36,424,1530,1689,0,31,667.5
03/18/01,561.531,424.02,1556,1670,0,28,637.6
03/19/01,562.128,424.09,1843,2172,0,28,672.2
03/20/01,564.176,424.33,1635,2702,0,34,674.6
03/21/01,567.333,424.7,1694,3320,0,34,677
03/22/01,570.323,425.05,1385,2921,0,29,679.4
03/23/01,572.389,425.29,1545,2624,0,37,681.8
03/24/01,575.057,425.6,1607,2981,0,29,684.1
03/25/01,580.062,426.18,1804,4327,0.62,0,686.5
03/26/01,585.53,426.81,1774,4563,0,32,688.9
03/27/01,588.492,427.15,1655,3180,0,32,691.3
03/28/01,592.43,427.6,1541,3555,0,29,693.7
03/29/01,596.283,428.04,1505,3486,0,38,696
03/30/01,599.371,428.39,1542,3152,0,53,696
03/31/01,602.195,428.71,1809,3274,0,41,696
04/01/01,604.401,428.96,1706,2859,0,41,684.7
04/02/01,606.533,429.2,1891,3007,0,41,705.6
04/03/01,608.49,429.42,1929,2949,0,33,708
04/04/01,608.846,429.46,2232,2444,0,33,710.3
04/05/01,608.49,429.42,2167,2024,0,36,710.3
04/06/01,609.202,429.5,2143,2546,0,44,715.1
04/07/01,610.625,429.66,1775,2507,0.87,15,717.5
04/08/01,611.604,429.77,1642,2136,0.13,0,708.2
04/09/01,612.494,429.87,1634,2104,0,21,722.2
04/10/01,612.405,429.86,1629,1620,0,36,724.6
04/11/01,612.938,429.92,1736,2053,0,48,727
04/12/01,613.116,429.94,1539,1629,0.51,0,729.4
04/13/01,613.116,429.94,2022,2052,0,30,731.8
04/14/01,613.561,429.99,1544,1798,0,30,734.1
04/15/01,613.383,429.97,1627,1570,0,33,736.5
04/16/01,613.205,429.95,1827,1773,0,36,738.9
04/17/01,614.457,430.09,1583,2256,0,42,741.3
04/18/01,616.34,430.3,1524,2515,0,42,741.3
04/19/01,618.402,430.53,1753,2793,0.04,0,741.3
04/20/01,622.887,431.03,2540,4801,0.04,0,741.3
04/21/01,627.585,431.55,1915,4284,1.17,0,741.3
04/22/01,631.29,431.96,1472,3367,0,27,757.6
04/23/01,635.11,432.38,1666,3628,0,36,757.6
04/24/01,638.842,432.79,1856,3781,0,43,757.6
04/25/01,644.147,433.37,1669,4387,0,43,757.6
04/26/01,650.017,434.01,1559,4582,0,64,757.6
04/27/01,656.67,434.73,1537,4937,0,46,757.6
04/28/01,661.399,435.24,1650,4083,0,49,757.6
04/29/01,664.377,435.56,1620,3158,0,37,797
04/30/01,667.541,435.9,1585,3233,0,53,797
05/01/01,672.877,436.47,1635,4384,0,59,797
05/02/01,677.376,436.95,1630,3976,0,78,797
05/03/01,681.432,437.38,1655,3778,0,78,797
05/04/01,683.32,437.58,1867,2894,0,75,797
05/05/01,684.83,437.74,1848,2684,0,75,797
05/06/01,686.623,437.93,1705,2669,0,60,797
05/07/01,688.044,438.08,1983,2775,0,76,797
05/08/01,691.561,438.45,1980,3826,0,73,847.6
05/09/01,696.124,438.93,1925,4295,0,70,847.6
05/10/01,699.182,439.25,1691,3325,0,92,847.6
05/11/01,701.287,439.47,1733,2874,0,80,847.6
05/12/01,703.297,439.68,1867,2953,0,73,847.6
05/13/01,704.637,439.82,2054,2771,0,41,875.6
05/14/01,705.116,439.87,2091,2370,0,38,875.6
05/15/01,706.073,439.97,2114,2628,0,32,875.6
05/16/01,707.227,440.09,2298,2938,0,58,875.6
05/17/01,708.191,440.19,1952,2496,0,58,875.6
05/18/01,709.154,440.29,1954,2510,0,70,875.6
05/19/01,709.154,440.29,1920,1997,0,77,875.6
05/20/01,708.865,440.26,2192,2136,0,90,875.6
05/21/01,708.672,440.24,2473,2456,0,80,915.1
05/22/01,709.058,440.28,2106,2381,0,80,915.1
05/23/01,708.769,440.25,2140,2074,0,80,915.1
05/24/01,709.251,440.3,2302,2660,0,115,915.1
05/25/01,708.672,440.24,2281,2088,0,99,915.1
05/26/01,708.576,440.23,1601,1611,0,58,915.1
05/27/01,706.649,440.03,1966,1096,0,102,915.1
05/28/01,702.34,439.58,3032,965,0,105,960.1
05/29/01,698.416,439.17,2728,855,0,105,960.1
05/30/01,696.98,439.02,2891,2215,0,48,960.1
05/31/01,695.839,438.9,2662,2176,0,89,960.1
06/01/01,694.128,438.72,2604,1830,0,89,960.1
06/02/01,689.755,438.26,3403,1274,0,76,960.1
06/03/01,684.83,437.74,3282,874,0,75,977
06/04/01,678.883,437.11,3575,636,0,59,977
06/05/01,674.377,436.63,3382,1166,0,56,977
06/06/01,669.784,436.14,3217,982,0,81,977
06/07/01,665.028,435.63,3538,1233,0,93,977
06/08/01,660.375,435.13,3279,1026,0,93,977
06/09/01,656.578,434.72,3112,1306,0,108,977
06/10/01,652.143,434.24,3033,877,0,80,977
06/11/01,648.183,433.81,2456,540,0,80,977
06/12/01,645.34,433.5,2380,1020,0,73,977
06/13/01,642.221,433.16,2573,1101,0,100,977
06/14/01,639.935,432.91,2093,1040,0,100,977
06/15/01,637.659,432.66,2169,1101,0,79,977
06/16/01,634.928,432.36,2189,897,0,85,977
06/17/01,631.38,431.97,2369,674,0,94,977
06/18/01,628.94,431.59,2303,656,0,84,977
06/19/01,626.501,431.43,2419,1786,0,96,977
06/20/01,624.604,431.22,2408,1548,0,96,977
06/21/01,621.271,430.85,2830,1237,0,87,977
06/22/01,618.223,430.51,2892,1454,0,99,977
06/23/01,614.816,430.13,3028,1396,0,86,977
06/24/01,610.003,429.59,2847,479,0,59,977
06/25/01,605.635,429.02,2899,413,0,71,977
06/26/01,601.268,428.55,2846,757,0.08,3,977
06/27/01,596.901,428.11,2938,1007,0.01,26,977
06/28/01,593.042,427.67,2916,1005,0,35,977
06/29/01,589.017,427.21,2933,986,0,82,977
06/30/01,586.051,426.87,2422,1000,0,73,977
07/01/01,582.666,426.48,2442,808,0,73,977
07/02/01,579.455,426.11,2468,944,0,95,977
07/03/01,577.811,425.92,2444,1754,0,139,977
07/04/01,575.918,425.7,2635,1851,0,170,977
07/05/01,572.992,425.36,2373,958,0,60,977
07/06/01,570.151,425.03,2657,1325,0,100,977
07/07/01,567.674,424.74,2266,1097,0,80,977
07/08/01,564.773,424.4,2495,1143,0,111,977
07/09/01,560.514,423.9,2621,551,0,77,977
07/10/01,557.385,423.53,2410,903,0,71,977
07/11/01,554.256,423.16,2280,759,0,57,977
07/12/01,550.64,422.73,2513,749,0,59,977
07/13/01,546.869,422.28,2678,844,0,67,977
07/14/01,543.941,421.93,2333,930,0,73,977
07/15/01,540.037,421.46,2503,596,0,61,977
07/16/01,535.888,420.96,2524,499,0,67,977
07/17/01,532.514,420.55,2615,969,0,55,977
07/18/01,529.057,420.13,2431,743,0,55,977
07/19/01,526.03,419.76,2437,966,0,55,977
07/20/01,523.095,419.4,2453,1028,0,55,977
07/21/01,520.16,419.04,2374,973,0,79,977
07/22/01,517.249,418.68,2335,922,0,55,977
07/23/01,513.613,418.23,2533,762,0,62,977
07/24/01,510.634,417.86,2429,1000,0,73,977
07/25/01,507.593,417.48,2539,1079,0,73,977
07/26/01,504.231,417.06,2425,786,0,56,977
07/27/01,501.372,416.7,2326,955,0,70,977
07/28/01,498.439,416.33,2381,977,0,75,977
07/29/01,494.722,415.86,2516,719,0,77,977
07/30/01,491.502,415.45,2318,758,0,63,977
07/31/01,488.91,415.12,2235,981,0,53,977
08/01/01,486.723,414.84,1734,684,0,53,977
08/02/01,484.156,414.51,2094,876,0,76,977
08/03/01,482.289,414.27,1800,927,0,68,977
08/04/01,480.188,414,1994,1008,0,73,977
08/05/01,477.799,413.69,1844,713,0,73,977
08/06/01,475.642,413.41,1726,711,0,72,977
08/07/01,473.485,413.13,1860,832,0,59,977
08/08/01,472.637,413.02,1791,1425,0,62,977
08/09/01,471.491,412.87,1873,1357,0,62,977
08/10/01,469.736,412.64,1932,1116,0,69,977
08/11/01,467.981,412.41,1865,1029,0,49,977
08/12/01,465.844,412.13,1759,741,0,59,977
08/13/01,463.492,411.82,1781,646,0,51,977
08/14/01,461.83,411.6,1782,1043,0,99,977
08/15/01,459.261,411.26,2067,830,0,58,977
08/16/01,457.447,411.02,1694,850,0,71,977
08/17/01,455.875,410.81,1763,1041,0,71,977
08/18/01,454.528,410.63,1852,1256,0,83,977
08/19/01,452.508,410.36,1854,899,0,63,977
08/20/01,449.89,410.01,2059,806,0,67,977
08/21/01,448.26,409.79,1631,859,0,50,977
08/22/01,447.224,409.65,1394,917,0,45,977
08/23/01,444.484,409.28,2134,790,0,37,977
08/24/01,442.559,409.02,1780,841,0,32,977
08/25/01,440.727,408.77,1901,1021,0,44,977
08/26/01,438.823,408.51,1886,970,0,44,977
08/27/01,437.066,408.27,1874,1040,0,52,977
08/28/01,435.968,408.12,1864,1374,0,64,977
08/29/01,434.075,407.86,1814,916,0,56,977
08/30/01,432.699,407.67,1661,1013,0,46,977
08/31/01,430.527,407.37,2036,982,0,41,977
09/01/01,428.861,407.14,1741,942,0,41,977
09/02/01,426.916,406.87,1765,847,0,63,977
09/03/01,424.982,406.6,1809,897,0,63,977
09/04/01,422.619,406.27,1846,713,0,58,977
09/05/01,420.331,405.95,1785,689,0,58,977
09/06/01,418.349,405.67,1807,861,0,53,977
09/07/01,416.366,405.39,1870,930,0,60,977
09/08/01,413.888,405.04,1894,697,0,52,977
09/09/01,411.435,404.69,1831,651,0,57,977
09/10/01,408.985,404.34,1871,688,0,52,977
09/11/01,407.095,404.07,1776,854,0,31,977
09/12/01,405.083,403.78,1843,869,0,40,977
09/13/01,402.523,403.41,1893,644,0,42,977
09/14/01,401.416,403.25,1351,835,0,42,977
09/15/01,399.755,403.01,1663,852,0,26,977
09/16/01,397.634,402.7,1783,767,0,53,977
09/17/01,395.104,402.33,2190,965,0,51,977
09/18/01,393.736,402.13,2016,1374,0,48,977
09/19/01,392.441,401.94,1768,1138,0,23,977
09/20/01,390.481,401.65,1705,763,0,46,977
09/21/01,388.994,401.43,1719,1001,0,32,977
09/22/01,386.426,401.05,1885,622,0,32,977
09/23/01,383.35,400.59,2035,527,0,43,977
09/24/01,381.146,400.26,1656,592,0,47,977
09/25/01,378.816,399.91,1787,652,0.44,40,977
09/26/01,376.901,399.62,1626,686,0,25,977
09/27/01,374.855,399.31,1762,761,0,31,977
09/28/01,372.743,398.99,1788,754,0,31,977
09/29/01,371.502,398.8,1733,1138,0,31,977
09/30/01,367.582,398.2,1877,4,0,103,977
10/01/01,365.113,397.82,1644,469,0,70,977
10/02/01,362.271,397.38,1825,429,0,37,977
10/03/01,359.049,396.88,1841,254,0,37,977
10/04/01,355.918,396.39,1846,303,0,36,977
10/05/01,352.731,395.89,1724,153,0,36,936
10/06/01,350.077,395.47,1638,325,0,25,911.4
10/07/01,347.424,395.05,1535,222,0,25,911.4
10/08/01,345.109,394.68,1472,349,0,44,911.4
10/09/01,342.673,394.29,1460,265,0,33,911.4
10/10/01,340.182,393.89,1415,219,0,60,911.4
10/11/01,337.22,393.41,1745,293,0,41,911.4
10/12/01,334.628,392.99,1534,266,0,39,911.4
10/13/01,332.676,392.67,1238,270,0,16,911.4
10/14/01,329.932,392.22,1598,231,0,16,911.4
10/15/01,327.204,391.77,1578,243,0,40,911.4
10/16/01,324.492,391.32,1571,234,0,30,911.4
10/17/01,321.731,390.86,1546,164,0,10,911.4
10/18/01,319.053,390.41,1479,157,0,28,911.4
10/19/01,316.378,389.96,1507,195,0,37,911.4
10/20/01,313.85,389.53,1554,304,0,25,911.4
10/21/01,311.204,389.08,1434,127,0,27,911.4
10/22/01,308.818,388.67,1466,280,0,17,911.4
10/23/01,306.438,388.26,1483,306,0,23,911.4
10/24/01,303.84,387.81,1317,26,0,19,911.4
10/25/01,301.433,387.39,1470,275,0,19,911.4
10/26/01,298.859,386.94,1466,194,0,26,911.4
10/27/01,296.143,386.46,1653,299,0,15,911.4
10/28/01,293.766,386.04,1411,228,0,15,911.4
10/29/01,291.697,385.67,1325,291,0,9,911.4
10/30/01,289.463,385.27,1492,366,0.17,0,911.4
10/31/01,287.404,384.9,1351,328,0.3,15,911.4
11/01/01,285.75,384.6,1167,351,0,18,911.4
11/02/01,283.765,384.24,1302,319,0,18,911.4
11/03/01,282.061,383.93,1100,259,0,18,911.4
11/04/01,280.537,383.65,1042,292,0,18,911.4
11/05/01,278.741,383.32,1189,302,0,18,911.4
11/06/01,276.785,382.96,1200,232,0,18,911.4
11/07/01,274.851,382.6,1219,244,0,17,911.4
11/08/01,273.025,382.26,1177,256,0,17,911.4
11/09/01,270.886,381.86,1272,194,0,17,911.4
11/10/01,269.295,381.56,1029,227,0,17,911.4
11/11/01,267.492,381.22,1197,288,0,17,911.4
11/12/01,266.803,381.09,1170,823,0.02,17,624.5
11/13/01,266.117,380.96,1074,728,0.91,17,624.5
11/14/01,265.384,380.82,981,611,1,17,624.5
11/15/01,264.286,380.61,1010,456,0,17,624.5
11/16/01,263.083,380.38,1159,552,0,17,624.5
11/17/01,261.618,380.1,1107,368,0,17,624.5
11/18/01,259.909,379.77,1194,332,0,17,624.5
11/19/01,258.568,379.51,1070,394,0,17,624.5
11/20/01,256.865,379.18,1206,347,0,17,624.5
11/21/01,255.48,378.91,1200,502,0.1,17,624.5
11/22/01,255.835,378.98,1146,1325,0.45,17,624.5
11/23/01,256.711,379.15,1091,1533,0,17,624.5
11/24/01,256.917,379.19,1393,1497,0.28,17,624.5
11/25/01,260.786,379.94,794,2745,0.46,17,577
11/26/01,261.618,380.1,1133,1552,0,17,577
11/27/01,260.992,379.98,1580,1264,0,17,577
11/28/01,260.424,379.87,1101,815,0,17,577
11/29/01,260.837,379.95,771,986,0.4,7,577
11/30/01,261.932,380.16,868,1420,0.04,17,577
12/01/01,261.827,380.14,1225,1172,0.04,13,577
12/02/01,266.012,380.94,1369,3479,0.55,13,577
12/03/01,274.421,382.52,1072,5311,0.94,13,577
12/04/01,277.163,383.03,1391,2773,0,13,577
12/05/01,278.034,383.19,1600,2039,0.06,13,577
12/06/01,279.503,383.46,1607,2348,0.33,13,577
12/07/01,280.211,383.59,1636,1993,0.01,13,577
12/08/01,280.374,383.62,1571,1653,0,13,577
12/09/01,280.048,383.56,1475,1336,0.18,25,577
12/10/01,280.32,383.61,1503,1642,0,2,577
12/11/01,279.612,383.48,1739,1382,0,13,577
12/12/01,279.286,383.42,1717,1553,0,13,577
12/13/01,280.646,383.67,1415,2101,0.01,13,577
12/14/01,283.104,384.12,1515,2754,0.82,13,577
12/15/01,284.647,384.4,1523,2301,0,13,577
12/16/01,284.978,384.46,1618,1785,0,13,577
12/17/01,285.97,384.64,1639,2139,0.19,13,577
12/18/01,288.346,385.07,1602,2800,0.17,13,577
12/19/01,290.803,385.51,1571,2810,0,13,577
12/20/01,294.558,386.18,1449,3342,0.39,13,577
12/21/01,298.123,386.81,1925,3722,0.51,13,577
12/22/01,301.089,387.33,1376,2871,0,13,577
12/23/01,305.393,388.08,1209,3379,0.7,13,577
12/24/01,307.657,388.47,1366,2507,0,13,577
12/25/01,307.657,388.47,1897,1897,0,13,577
12/26/01,308.47,388.61,1426,1836,0,13,577
12/27/01,309.747,388.83,1493,2137,0,13,577
12/28/01,314.614,389.66,1458,3912,0.02,13,577
12/29/01,318.934,390.39,1845,4023,1.24,13,577
12/30/01,324.673,391.35,1056,3949,0.21,13,577
12/31/01,337.281,393.42,1459,7815,0.48,13,577
01/01/02,347.487,395.06,1331,6476,0,9,577
01/02/02,358.666,396.82,1411,7047,0.68,9,577
01/03/02,374.723,399.29,1267,9362,0.83,9,577
01/04/02,384.218,400.72,1165,5952,0.01,9,577
01/05/02,389.67,401.53,1724,4473,0,9,577
01/06/02,396.267,402.5,1457,4783,0.21,9,577
01/07/02,404.46,403.69,1549,5680,0.01,9,577
01/08/02,410.875,404.61,1428,4662,0,9,577
01/09/02,416.437,405.4,1730,4534,0,9,577
01/10/02,421.544,406.12,1772,4347,0,9,577
01/11/02,425.555,406.68,1636,3658,0,9,577
01/12/02,428.788,407.13,1610,3240,0,9,577
01/13/02,431.396,407.49,1572,2887,0,9,577
01/14/02,434.365,407.9,1548,3045,0,9,577
01/15/02,438.457,408.46,1414,3477,0,9,577
01/16/02,441.972,408.94,1635,3407,0,9,577
01/17/02,445.743,409.45,1544,3445,0,9,577
01/18/02,449.149,409.91,1534,3251,0,9,577
01/19/02,450.788,410.13,1548,2374,0,9,577
01/20/02,451.162,410.18,1842,2031,0,9,577
01/21/02,451.685,410.25,1733,1997,0,9,577
01/22/02,454.453,410.62,1580,2976,0.03,9,577
01/23/02,456.922,410.95,1549,2794,0,9,577
01/24/02,458.807,411.2,1765,2715,0,9,577
01/25/02,460.923,411.48,1603,2670,0,9,577
01/26/02,464.625,411.97,1649,3515,0.35,9,577
01/27/02,469.812,412.65,1487,4102,0.42,9,577
01/28/02,473.639,413.15,1494,3423,0,9,577
01/29/02,477.568,413.66,1500,3481,0.1,9,577
01/30/02,479.495,413.91,1841,2813,0,9,577
01/31/02,481.044,414.11,1547,2328,0,9,577
02/01/02,484.856,414.6,1631,3553,0,11,577
02/02/02,486.645,414.83,1647,2549,0,11,577
02/03/02,488.361,415.05,1662,2527,0,11,577
02/04/02,489.46,415.19,1769,2323,0,11,577
02/05/02,491.031,415.39,1637,2429,0,11,577
02/06/02,491.345,415.43,1727,1885,0,11,577
02/07/02,492.759,415.61,1571,2284,0,11,577
02/08/02,496.456,416.08,1539,3403,0.41,11,577
02/09/02,499.152,416.42,1525,2884,0.01,11,577
02/10/02,501.055,416.66,1729,2688,0,11,577
02/11/02,504.711,417.12,1659,3502,0,11,577
02/12/02,507.273,417.44,1707,2999,0,11,586.5
02/13/02,510.314,417.82,1591,3124,0,11,586.5
02/14/02,511.997,418.03,1707,2556,0.04,11,586.5
02/15/02,514.259,418.31,1690,2830,0,11,586.5
02/16/02,517.168,418.67,1537,3004,0,11,586.5
02/17/02,520.486,419.08,1844,3517,0.31,11,586.5
02/18/02,523.911,419.5,1689,3416,0.24,11,577
02/19/02,528.234,420.03,1607,3786,0.1,11,577
02/20/02,547.874,422.4,1656,11558,0.23,11,577
02/21/02,560.514,423.9,1449,7822,0,11,577
02/22/02,568.869,424.88,1538,5750,0,11,577
02/23/02,576.176,425.73,1544,5228,0,11,577
02/24/02,583.187,426.54,1510,5045,0,11,577
02/25/02,588.492,427.15,1758,4433,0,11,577
02/26/02,593.48,427.72,1723,4238,0,11,577
02/27/02,598.754,428.32,1752,4411,0,11,577
02/28/02,602.372,428.73,1668,3492,0,11,577
03/01/02,607.601,429.32,1698,4334,0,34,577
03/02/02,610.981,429.7,1731,3435,0,34,577
03/03/02,611.426,429.75,2175,2399,0,34,577
03/04/02,611.248,429.73,2195,2105,0,34,590.5
03/05/02,612.849,429.91,2269,3076,0,34,590.5
03/06/02,621.271,430.85,2175,6421,0.51,34,590.5
